"month","day","year","town","county","cases"
"05","22","2020","Englishtown","Monmouth","40"
"05","22","2020","Fair Haven","Monmouth","25"
"05","22","2020","Farmingdale","Monmouth","14"
"05","22","2020","Freehold Borough","Monmouth","373"
"05","22","2020","Freehold Township","Monmouth","619"
"05","22","2020","Hazlet","Monmouth","280"
"05","22","2020","Highlands","Monmouth","30"
"05","22","2020","Holmdel","Monmouth","237"
"05","22","2020","Howell","Monmouth","588"
"05","22","2020","Interlaken","Monmouth","4"
"05","22","2020","Keansburg","Monmouth","170"
"05","22","2020","Keyport","Monmouth","90"
"05","22","2020","Lake Como","Monmouth","16"
"05","22","2020","Little Silver","Monmouth","34"
"05","22","2020","Loch Arbour","Monmouth","1"
"05","22","2020","Long Branch","Monmouth","489"
"05","22","2020","Manalapan","Monmouth","444"
"05","22","2020","Manasquan","Monmouth","30"
"05","22","2020","Marlboro","Monmouth","432"
"05","22","2020","Matawan","Monmouth","175"
"05","22","2020","Middletown","Monmouth","642"
"05","22","2020","Millstone","Monmouth","82"
"05","22","2020","Monmouth Beach","Monmouth","19"
"05","22","2020","Neptune City","Monmouth","54"
"05","22","2020","Neptune Township","Monmouth","466"
"05","22","2020","Ocean","Monmouth","289"
"05","22","2020","Oceanport","Monmouth","59"
"05","22","2020","Red Bank","Monmouth","194"
"05","22","2020","Roosevelt","Monmouth","6"
"05","22","2020","Rumson","Monmouth","34"
"05","22","2020","Sea Bright","Monmouth","9"
"05","22","2020","Sea Girt","Monmouth","14"
"05","22","2020","Shrewsbury Borough","Monmouth","50"
"05","22","2020","Shrewsbury Township","Monmouth","9"
"05","22","2020","Spring Lake","Monmouth","13"
"05","22","2020","Spring Lake Heights","Monmouth","20"
"05","22","2020","Tinton Falls","Monmouth","188"
"05","22","2020","Union Beach","Monmouth","43"
"05","22","2020","Unknown","Monmouth","0"
"05","22","2020","Upper Freehold","Monmouth","51"
"05","22","2020","Wall","Monmouth","323"
"05","22","2020","West Long Branch","Monmouth","61"
"05","22","2020","Boonton","Morris","101"
"05","22","2020","Boonton Township","Morris","77"
"05","22","2020","Butler","Morris","86"
"05","22","2020","Chatham Borough","Morris","54"
"05","22","2020","Chatham Township","Morris","115"
"05","22","2020","Chester Borough","Morris","7"
"05","22","2020","Chester Township","Morris","43"
"05","22","2020","Denville","Morris","147"
"05","22","2020","Dover","Morris","643"
"05","22","2020","East Hanover","Morris","130"
"05","22","2020","Florham Park","Morris","121"
"05","22","2020","Hanover","Morris","178"
"05","22","2020","Harding","Morris","24"
"05","22","2020","Jefferson","Morris","213"
"05","22","2020","Kinnelon","Morris","68"
"05","22","2020","Lincoln Park","Morris","316"
"05","22","2020","Long Hill","Morris","44"
"05","22","2020","Madison","Morris","131"
