town,population,county
Spotswood,8307,Middlesex
Spring_Lake,2925,Monmouth
Spring_Lake_Heights,4555,Monmouth
Springfield,17517,Union
Springfield,3268,Burlington
Stafford,27542,Ocean
Stanhope,3314,Sussex
Stillwater,3893,Sussex
Stockton,513,Hunterdon
Stone_Harbor,811,Cape May
Stow_Creek,1385,Cumberland
Stratford,6967,Camden
Summit,22016,Union
Surf_City,1193,Ocean
Sussex_Borough,2003,Sussex
Swedesboro,2579,Gloucester
Tabernacle,6822,Burlington
Tavistock,5,Camden
Teaneck,40619,Bergen
Tenafly,14641,Bergen
Teterboro,68,Bergen
Tewksbury,5788,Hunterdon
Tinton_Falls,17563,Monmouth
Toms_River,93717,Ocean
Totowa,10804,Passaic
Trenton,83974,Mercer
Tuckerton,3375,Ocean
Union,58757,Union
Union,5525,Hunterdon
Union_Beach,5485,Monmouth
Union_City,68520,Hudson
Upper_Deerfield,7380,Cumberland
Upper_Freehold,7019,Monmouth
Upper_Pittsgrove,3361,Salem
Upper_Saddle_River,8270,Bergen
Upper_Township,11857,Cape May
Ventnor,10039,Atlantic
Vernon,22091,Sussex
Verona,13420,Essex
Victory_Gardens,1490,Morris
Vineland,59966,Cumberland
Voorhees,29239,Camden
Waldwick,10207,Bergen
Wall,25705,Monmouth
Wallington,11591,Bergen
Walpack,11,Sussex
Wanaque,11741,Passaic
Wantage,10867,Sussex
Warren,15745,Somerset
Washington,710,Burlington
Washington_Borough,6452,Warren
Washington_Township,6421,Warren
Washington_Township,18401,Morris
Washington_Township,47517,Gloucester
Washington_Township,9246,Bergen
Watchung,6055,Somerset
Waterford,10707,Camden
Waterford_Works,10707,Camden
Wayne,53657,Passaic
Weehawken,14864,Hudson
Wenonah,2222,Gloucester
West_Amwell,2739,Hunterdon
West_Caldwell,10868,Essex
West_Cape_May,1004,Cape May
West_Deptford,21073,Gloucester
West_Long_Branch,7909,Monmouth
West_Milford,26392,Passaic
West_New_York,52990,Hudson
West_Orange,47720,Essex
West_Wildwood,558,Cape May
West_Windsor,28045,Mercer
Westampton,8682,Burlington
Westfield,29881,Union
Westfield_town,29881,Union
Westville,4163,Gloucester
Westwood,11155,Bergen
Weymouth,2814,Atlantic
Wharton,6457,Morris
White,4687,Warren
Wildwood,4998,Cape May
Wildwood_Crest,3074,Cape May
Willingboro,31887,Burlington
Winfield,1509,Union
Winslow,38699,Camden
Wood_Ridge,9159,Bergen
Woodbine,2436,Cape May
Woodbridge,100450,Middlesex
Woodbury,9852,Gloucester
Woodbury_Heights,2974,Gloucester
Woodcliff_Lake,5862,Bergen
Woodland,1769,Burlington
Woodland_Park,12614,Passaic
Woodlynne,2921,Camden
Wood-Ridge,9159,Bergen
Woodstown,3447,Salem
Woolwich,12786,Gloucester
Wrightstown,778,Burlington
Wyckoff,17068,Bergen
